Market,Category,Business Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total Wins,Email,Certainty %
Arlington & Mansfield,College/University,University of Texas at Arlington,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Arlington & Mansfield,Golf Course,Walnut Creek Country Club,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Rockwall & Rowlett,Jewelry Store,Willis Fine Jewelry,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Fort Bend,Pizza,Grimaldi's Pizzeria,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Cy-Fair,Realtor,Patricia Fleming Realty Group,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Arlington & Mansfield,Auto Repair Shop,B&M Auto Specialists,,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Flower Mound,Golf Course,Bridlewood Golf Club,,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Rockwall & Rowlett,Pulmonologist,"BSW - Pulmonary Care Consultants - Dr. Delano S. Fabro Jr, DO",,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Coppell & North Irving,Jewelry Store,Gold N Carats Jewelers,,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Northeast Tarrant County,Landscape Company,Highland Landscaping,,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
McKinney & Allen,Photographer,Jilly Bean Photography,,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Arlington & Mansfield,Italian Restaurant,La Gondola Italian,,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Rockwall & Rowlett,General Surgeon,Lakeside Surgery,,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Frisco & Plano,Plumber,Legacy Plumbing,,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Arlington & Mansfield,Home Builder,Arlington & Mansfieldsfield Custom Homes,,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Rockwall & Rowlett,Tutoring Company,Mathnasium,,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Arlington & Mansfield,Psychiatrist,Rabjohn Behavioral Institute,,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Rockwall & Rowlett,Urgent Care,Rockwall & Rowlettwall Urgent Care,,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Northeast Tarrant County,Local Weight Loss Prosper & Celinagram,Slim4Life,,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Keller,Flooring Store,The Floor Store of Kellerler,,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Rockwall & Rowlett,Car Dealership,Toyota of Rockwall & Rowlettwall,,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Cy-Fair,Periodontist,"Charles E. Dyer IV, DDS., MS",,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Cy-Fair,Grocer,H-E-B,,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Fort Bend,Grocer,H-E-B,,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
The Woodlands,College/University,Lone Star College,,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
The Woodlands,Podiatrist,Sweeney Foot and Ankle Specialists,,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Arlington & Mansfield,Cardiac Surgeon,Darien W. Bradford - Methodist Heart & Lung,2013,,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Rockwall & Rowlett,Heating/Air Company,Lyons Air Conditioning & Heating,2013,,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Frisco & Plano,Optometrist,"Plano Eye Associates - East - Tim Wright, OD",2013,,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Arlington & Mansfield,Sushi,Suzushii Sushi and Grill,2013,,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Rockwall & Rowlett,Plumber,Total Plumbing,2013,,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
The Woodlands,Steak,Perry's Steakhouse & GrInner Loople,2013,,2015,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Rockwall & Rowlett,Nursery/GarDenton Center,Covington's,2013,2014,,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Frisco & Plano,Painting Company,Southern Painting,2013,2014,,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Rockwall & Rowlett,College/University,Texas A&M Commerce,2013,2014,,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Frisco & Plano,Gymnastics,WOGA,2013,2014,,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Fort Bend,Nursery/Garden Center,Enchanted Gardens/Enchanted Forest,2013,2014,,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Fort Bend,Hospital,Houston Methodist Hospital Sugar Land,2013,2014,,2016,2017,2018,2019,2020,2021,2022,2023,10,,
Coppell & North Irving,Baby/Children Boutique,Heaven Sent Children's Boutique ,2013,2014,2015,,2017,2018,2019,2020,2021,2022,2023,10,,
Fort Bend,Manicure/Pedicure,Sweetwater NaInner Loops & Spa,2013,2014,2015,,2017,2018,2019,2020,2021,2022,2023,10,,
McKinney & Allen,Hotel,Grand Hotel & Ballroom,2013,2014,2015,2016,,2018,2019,2020,2021,2022,2023,10,,
Rockwall & Rowlett,Hotel,Hilton Harbor at Rockwall & Rowlettwall,2013,2014,2015,2016,,2018,2019,2020,2021,2022,2023,10,,
The Woodlands,Bay Area & Friendswoodnk/Financial Institution,Woodforest National Bay Area & Friendswoodnk,2013,2014,2015,2016,,2018,2019,2020,2021,2022,2023,10,,
Keller,Gymnastics,ASI Gymnastics,2013,2014,2015,2016,2017,,2019,2020,2021,2022,2023,10,,
Northeast Tarrant County,Orthodontist,Jolley Orthodontics - Dr. Cameron Jolley,2013,2014,2015,2016,2017,,2019,2020,2021,2022,2023,10,,
Katy & Fulshear,Jewelry Store,Amber's Designs,2013,2014,2015,2016,2017,,2019,2020,2021,2022,2023,10,,
Cy-Fair,Wine Bay Area & Friendswoodr,d'Vine Wine Bay Area & Friendswoodr,2013,2014,2015,2016,2017,,2019,2020,2021,2022,2023,10,,
Fort Bend,Steak,Perry's Steakhouse & GrInner Loople,2013,2014,2015,2016,2017,,2019,2020,2021,2022,2023,10,,
Katy & Fulshear,Steak,Perry's Steakhouse & GrInner Loople,2013,2014,2015,2016,2017,,2019,2020,2021,2022,2023,10,,
Katy & Fulshear,Sushi,Sushi Hana Japanese Kitchen,2013,2014,2015,2016,2017,,2019,2020,2021,2022,2023,10,,
The Woodlands,Sushi,Uni Sushi,2013,2014,2015,2016,2017,,2019,2020,2021,2022,2023,10,,
Rockwall & Rowlett,Golf Course,Buffalo Creek,2013,2014,2015,2016,2017,2018,,2020,2021,2022,2023,10,,
Cy-Fair,ChInner Loopd Care,Kids R Kids,2013,2014,2015,2016,2017,2018,,2020,2021,2022,2023,10,,
Arlington & Mansfield,Urgent Care,Arlington & Mansfieldsfield Urgent Care and Family Medicine,2013,2014,2015,2016,2017,2018,2019,,2021,2022,2023,10,,
The Woodlands,Pizza,Crust Pizza,2013,2014,2015,2016,2017,2018,2019,,2021,2022,2023,10,,
Frisco & Plano,Hospital,Baylor Scott & White Medical Center,2013,2014,2015,2016,2017,2018,2019,2020,2021,,2023,10,,
Keller,Grocer,Kroger,2013,2014,2015,2016,2017,2018,2019,2020,2021,,2023,10,,
Arlington & Mansfield,Martial Arts,Troy Dorsey's Karate,2013,2014,2015,2016,2017,2018,2019,2020,2021,,2023,10,,
Flower Mound,Pet Boarding,Canine Courtyard,,,2015,2016,2017,2018,2019,2020,2021,2022,2023,9,,
Prosper & Celina,ENT,ENT & Allergy Centers of Texas,,,2015,2016,2017,2018,2019,2020,2021,2022,2023,9,,
Rockwall & Rowlett,Mortgage Lender,Highlands ResiDentontial Mortgage - Sherri Crayne,,,2015,2016,2017,2018,2019,2020,2021,2022,2023,9,,
Keller,Florist,Kellerler Florist,,,2015,2016,2017,2018,2019,2020,2021,2022,2023,9,,
McKinney & Allen,Oral Surgeon,"Mark A. Craig, DDS, MD",,,2015,2016,2017,2018,2019,2020,2021,2022,2023,9,,
Arlington & Mansfield,Wine Bar,"Poured - Wine, Beer & Bubbly",,,2015,2016,2017,2018,2019,2020,2021,2022,2023,9,,
McKinney & Allen,Chiropractor,Scott Chiropractic & Wellness - Dr. Matthew Scott,,,2015,2016,2017,2018,2019,2020,2021,2022,2023,9,,
Rockwall & Rowlett,Pediatric Dentontist,Smiley Tooth Pediatric Dentontal Specialists,,,2015,2016,2017,2018,2019,2020,2021,2022,2023,9,,
McKinney & Allen,Wine Bar,Zin Zen Wine & Bistro,,,2015,2016,2017,2018,2019,2020,2021,2022,2023,9,,
Cy-Fair,Veterinarian,Animal ER Northwest Houston,,,2015,2016,2017,2018,2019,2020,2021,2022,2023,9,,
Cy-Fair,Mortgage Lender,C & T Mortgage,,,2015,2016,2017,2018,2019,2020,2021,2022,2023,9,,
Fort Bend,Photographer,Kelley Sweet Photography,,,2015,2016,2017,2018,2019,2020,2021,2022,2023,9,,
Fort Bend,Urgent Care,Next Level Urgent Care,,,2015,2016,2017,2018,2019,2020,2021,2022,2023,9,,
Coppell & North Irving,Barbecue,Hard Eight BBQ,,2014,,2016,2017,2018,2019,2020,2021,2022,2023,9,,
Rockwall & Rowlett,Pizza,Samee's Pizza Getti,2013,,,2016,2017,2018,2019,2020,2021,2022,2023,9,,
Northeast Tarrant County,Veterinarian,Tara Animal Hospital,2013,,,2016,2017,2018,2019,2020,2021,2022,2023,9,,
Coppell & North Irving,Florist,Flowers of Las Colinas,,2014,2015,,2017,2018,2019,2020,2021,2022,2023,9,,
Flower Mound,Orthopedic Surgeon,Orthopedic Associates,,2014,2015,,2017,2018,2019,2020,2021,2022,2023,9,,
Rockwall & Rowlett,Vein Doctor,Vanguard Vascular & Vein - Dr. Franklin Yau,,2014,2015,,2017,2018,2019,2020,2021,2022,2023,9,,
Cy-Fair,Mexican Restaurant,Alicia's Mexican GrInner Loople,,2014,2015,,2017,2018,2019,2020,2021,2022,2023,9,,
Cy-Fair,College/University,Lone Star College,,2014,2015,,2017,2018,2019,2020,2021,2022,2023,9,,
Fort Bend,College/University,University of Houston,,2014,2015,,2017,2018,2019,2020,2021,2022,2023,9,,
Coppell & North Irving,Allergist,Adair Allergy & Asthma - Dr. Margaret Adair,2013,2014,,,2017,2018,2019,2020,2021,2022,2023,9,,
Northeast Tarrant County,Emergency Room,Baylor Scott & White Medical Center - Grapevine,2013,2014,,,2017,2018,2019,2020,2021,2022,2023,9,,
Arlington & Mansfield,Pizza,Mama's Pizza,2013,2014,,,2017,2018,2019,2020,2021,2022,2023,9,,
Flower Mound,Arlington & Mansfieldicure/Pedicure,Bliss Nail Spa,2013,2014,,2016,,2018,2019,2020,2021,2022,2023,9,,
Northeast Tarrant County,Italian Restaurant,Café Italia,2013,2014,,2016,,2018,2019,2020,2021,2022,2023,9,,
Rockwall & Rowlett,Urologist,Urology Clinics of North Texas,,2014,2015,2016,2017,,2019,2020,2021,2022,2023,9,,
Memorial,Grocer,H-E-B,,2014,2015,2016,2017,,2019,2020,2021,2022,2023,9,,
The Woodlands,Grocer,H-E-B,,2014,2015,2016,2017,,2019,2020,2021,2022,2023,9,,
Katy & Fulshear,Maid/Cleaning Service,MaidPro,,2014,2015,2016,2017,,2019,2020,2021,2022,2023,9,,
Memorial,Hospital,Memorialorial HeRichmondann Memorialorial City,,2014,2015,2016,2017,,2019,2020,2021,2022,2023,9,,
Frisco & Plano,Medspa,Skin MD & Beyond,2013,,2015,2016,2017,,2019,2020,2021,2022,2023,9,,
Rockwall & Rowlett,Carpet Restoration/Cleaning,Doiggs Restoration & Cleaning,2013,2014,2015,2016,,,2019,2020,2021,2022,2023,9,,
Flower Mound,Seafood,Fish City Grill,,2014,2015,2016,2017,2018,,2020,2021,2022,2023,9,,
Coppell & North Irving,Car Dealership,Toyota of Irving,,2014,2015,2016,2017,2018,,2020,2021,2022,2023,9,,
Arlington & Mansfield,Nursery/GarDenton Center,Calloway's Nursery,2013,2014,,2016,2017,2018,,2020,2021,2022,2023,9,,
McKinney & Allen,Grocer,Market Street,2013,2014,,2016,2017,2018,,2020,2021,2022,2023,9,,
Fort Bend,Maid/Cleaning Service,MaidPro,2013,2014,2015,2016,2017,,,2020,2021,2022,2023,9,,
Rockwall & Rowlett,Martial Arts,Rockwall & Rowlettwall Black Belt Academy,2013,2014,2015,2016,2017,2018,,,2021,2022,2023,9,,
Flower Mound,Podiatrist,DFW Foot and Ankle,,2014,2015,2016,2017,2018,2019,2020,,2022,2023,9,,
Flower Mound,Rehabilitation Center - Physical,Medical Center of Lewisville,2013,2014,2015,,2017,2018,2019,2020,,2022,2023,9,,
Arlington & Mansfield,Gymnastics,ASI Gymnastics,2013,2014,2015,2016,2017,,2019,2020,,2022,2023,9,,
Frisco & Plano,Burgers,Kenny's Burger Joint,2013,2014,,2016,2017,2018,2019,2020,2021,,2023,9,,
Coppell & North Irving,Hospital,Baylor Scott & White Medical Center - Irving,2013,2014,2015,2016,2017,,2019,2020,2021,,2023,9,,
Northeast Tarrant County,Spine Surgeon,Spine Team Texas,2013,2014,2015,2016,2017,2018,,2020,2021,,2023,9,,
McKinney & Allen,Title Company,Republic Title of Texas,2013,2014,2015,2016,2017,2018,2019,2020,,,2023,9,,
McKinney & Allen,Pizza,Cadillac Pizza,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
Arlington & Mansfield,Photographer,Daydream Photography - Landan Day,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
Northeast Tarrant County,Acupuncture,Dunn Acupuncture & Allergy Center,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
Frisco & Plano,Remodeler,Elite Remodeling,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
Rockwall & Rowlett,Maid/Cleaning Service,Green Cleaning DFW,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
Coppell & North Irving,Nursery/GarDenton Center,Grow It Land Design,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
Rockwall & Rowlett,Insurance Agent,Hanby Insurance,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
McKinney & Allen,Italian Restaurant,Italian GarDenton,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
Coppell & North Irving,Urgent Care,Legacy ER & Urgent Care,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
Frisco & Plano,Urgent Care,Legacy ER & Urgent Care,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
McKinney & Allen,Plastic Surgeon,North Texas Plastic and Reconstructive Surgery,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
Richardson & Murphy,Child Care,Oak Brook School,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
Prosper & Celina,Insurance Agent (Auto & Home),Prosper & Celinasper Insurance Center - David Huck,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
Rockwall & Rowlett,Music Studio/Lessons,Rockwall & Rowlettwall School of Music,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
Frisco & Plano,TMJ Dentontist,Star Ranch Dentontal,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
Rockwall & Rowlett,Neurosurgeon,Texas Brain & Spine,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
Flower Mound,Sleep Doctor/Specialist,TMJ & Sleep Therapy Centre of North Texas,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
Flower Mound,TMJ Dentontist,TMJ and Sleep Therapy Centre of North Texas - Dr. Shab Krish,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
McKinney & Allen,Place for Craft Beer,Tupps Brewery,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
Flower Mound,Bariatric Surgeon,Weight Loss Specialists of North Texas - Dr. Folahan Ayoola,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
The Woodlands,Cosmetic Dentist,Carrie Muzny & Associates,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
Fort Bend,EmergenCy-Fair Room,Houston Methodist Hospital Sugar Land,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
Fort Bend,Flooring Store,Inspired Floors,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
Cy-Fair,Wedding/Event Venue,Lindsay Lakes,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
Cy-Fair,Italian Restaurant,Marvino's Italian Steakhouse,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
Fort Bend,Acupuncture,Mirvana Acupuncture,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
The Woodlands,Tutoring Company,Read Frog Dyslexia & Educational Services,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
The Woodlands,Orthodontist,Showtime Orthodontics,,,,2016,2017,2018,2019,2020,2021,2022,2023,8,,
Frisco & Plano,Women's Boutique,Distinctively Hers,,,2015,,2017,2018,2019,2020,2021,2022,2023,8,,
Rockwall & Rowlett,ENT,Lakeside Allergy ENT,,,2015,,2017,2018,2019,2020,2021,2022,2023,8,,
Richardson & Murphy,Orthopedic Surgeon,Orthopedic & Sports Medicine Center - Dr. Todd Johnson,,,2015,,2017,2018,2019,2020,2021,2022,2023,8,,
McKinney & Allen,Martial Arts,Vu's Martial Arts,,2014,,,2017,2018,2019,2020,2021,2022,2023,8,,
Cy-Fair,Golf Course,Blackhorse Golf Club,,2014,,,2017,2018,2019,2020,2021,2022,2023,8,,
Cy-Fair,Gymnastics,Cy-Fairpress Academy of Gymnastics,,2014,,,2017,2018,2019,2020,2021,2022,2023,8,,
Cy-Fair,Roofing Company,Telge Roofing,,2014,,,2017,2018,2019,2020,2021,2022,2023,8,,
Flower Mound,Bridal Store,Bridal Boutique,2013,,,,2017,2018,2019,2020,2021,2022,2023,8,,
Rockwall & Rowlett,Pediatrician,Lake Ray Hubbard Pediatrics,2013,,,,2017,2018,2019,2020,2021,2022,2023,8,,
Rockwall & Rowlett,Bridal Store,Prosper & CelinaviDentonce Place Bridal Shop,2013,,,,2017,2018,2019,2020,2021,2022,2023,8,,
The Woodlands,Laser Hair Removal,Avante Laser & Medispa,2013,,,,2017,2018,2019,2020,2021,2022,2023,8,,
Cy-Fair,Bay Area & Friendswoodby/ChInner Loopdren Boutique,Freckles ChInner Loopdren's Boutique,2013,,2015,,,2018,2019,2020,2021,2022,2023,8,,
Keller,College/University,Texas Christian University,,,2015,2016,2017,,2019,2020,2021,2022,2023,8,,
Memorial,Health Club/Gym,Memorialorial Athletic Club,,2014,,2016,2017,,2019,2020,2021,2022,2023,8,,
Katy & Fulshear,ENT,Texas ENT Specialists,,2014,,2016,2017,,2019,2020,2021,2022,2023,8,,
Coppell & North Irving,Gymnastics,Texas Dreams Gymnastics,,2014,2015,,2017,,2019,2020,2021,2022,2023,8,,
Katy & Fulshear,Grocer,H-E-B,,2014,2015,,2017,,2019,2020,2021,2022,2023,8,,
Arlington & Mansfield,OB/GYN,Omega Ob-Gyn Associates,2013,,2015,,2017,,2019,2020,2021,2022,2023,8,,
The Woodlands,Private Spring & Championhool,The John Cooper Spring & Championhool,2013,2014,,,2017,,2019,2020,2021,2022,2023,8,,
Coppell & North Irving,Yoga Class Studio,SunstoneFIT,2013,2014,,2016,,,2019,2020,2021,2022,2023,8,,
McKinney & Allen,Pet Groomer,Fur Friends,2013,2014,2015,,,,2019,2020,2021,2022,2023,8,,
Rockwall & Rowlett,CPA,"Mike Oliver, CPA, LLC",2013,2014,2015,,,,2019,2020,2021,2022,2023,8,,
Rockwall & Rowlett,Spine Surgeon,Texas Back Institute,,,2015,2016,2017,2018,,2020,2021,2022,2023,8,,
Keller,Bank/Financial Institution,First Financial Bank,2013,,,2016,2017,2018,,2020,2021,2022,2023,8,,
The Woodlands,Wine Bay Area & Friendswoodr,Cru Food & Wine Bay Area & Friendswoodr,2013,,,2016,2017,2018,,2020,2021,2022,2023,8,,
Flower Mound,Hair Salon,Cloud 9 Salon and Spa,2013,2014,,2016,,2018,,2020,2021,2022,2023,8,,
Katy & Fulshear,Podiatrist,Your Total Foot Care Specialist,2013,2014,2015,20116,,,,2020,2021,2022,2023,8,,
Arlington & Mansfield,Attorney - Business Law,Harris Cook LLP,,,2015,2016,2017,2018,2019,,2021,2022,2023,8,,
Richardson & Murphy,Hospital,Methodist Richardson & Murphyardson Medical Center,,,2015,2016,2017,2018,2019,,2021,2022,2023,8,,
Prosper & Celina,Family Dentontist,Prosper & Celinasper Family Dentontistry,,,2015,2016,2017,2018,2019,,2021,2022,2023,8,,
Fort Bend,Periodontist,"J. Gregory Condrey DDS, MS",,,2015,2016,2017,2018,2019,,2021,2022,2023,8,,
Katy & Fulshear,Dance Studio,Connolly Dance Arts,,2014,2015,2016,2017,,2019,,2021,2022,2023,8,,
McKinney & Allen,Seafood,Rockwall & Rowlettfish Seafood & Grill,2013,,2015,2016,2017,,2019,,2021,2022,2023,8,,
Northeast Tarrant County,College/University,Texas Christian University,2013,,2015,2016,2017,2018,,,2021,2022,2023,8,,
Cy-Fair,Cosmetic Dentist,Dr. Lori Logan,2013,2014,2015,2016,2017,,,,2021,2022,2023,8,,
Richardson & Murphy,Pool Company,Hobert Pools & Spas,,,2015,2016,2017,2018,2019,2020,,2022,2023,8,,
Frisco & Plano,Car Dealership,Park Place Lexus,,2014,,2016,2017,2018,2019,2020,,2022,2023,8,,
Northeast Tarrant County,Auto Repair Shop,Ethridge Auto Center,,2014,2015,2016,,2018,2019,2020,,2022,2023,8,,
Northeast Tarrant County,Deli,Weinberger's Deli,,2014,2015,2016,,2018,2019,2020,,2022,2023,8,,
Keller,Deli,Jason's Deli,2013,,2015,2016,2017,,2019,2020,,2022,2023,8,,
Katy & Fulshear,Pain Management,Advanced Interventional Pain Consultants,2013,2014,2015,,2017,,2019,2020,,2022,2023,8,,
Rockwall & Rowlett,Spa,Belfiore Salon & Day Spa,2013,2014,,2016,2017,2018,2019,,,2022,2023,8,,
